Year,Month,Anomaly,Date,Max,Min
1750,1,-0.221,1750-1,,
1750,2,-1.624,1750-2,,
1750,3,-0.524,1750-3,,
1750,4,0.124,1750-4,,
1750,5,-1.072,1750-5,,
1750,6,-0.702,1750-6,,
1750,7,0.18,1750-7,,
1750,8,0.974,1750-8,,
1750,9,-0.243,1750-9,,
1750,10,-1.603,1750-10,,
1750,11,-4.111,1750-11,,
1750,12,-2.771,1750-12,,
1751,1,-0.952,1751-1,,
1751,2,-3.089,1751-2,,
1751,3,-0.057,1751-3,,
1751,4,-0.709,1751-4,,
1751,5,-1.434,1751-5,,
1751,6,-1.394,1751-6,,
1751,7,0.831,1751-7,,
1751,8,0.129,1751-8,,
1751,9,-0.613,1751-9,,
1751,10,0.072,1751-10,,
1751,11,-1.827,1751-11,,
1751,12,0,1751-12,,
1752,1,-2.75,1752-1,,
1752,2,1.824,1752-2,,
1752,3,0.064,1752-3,,
1752,4,-0.834,1752-4,,
1752,5,0.551,1752-5,,
1752,6,0.026,1752-6,,
1752,7,0.676,1752-7,,
1752,8,-0.417,1752-8,,
1752,9,0.612,1752-9,,
1752,10,-0.857,1752-10,,
1752,11,0.562,1752-11,,
1752,12,-0.151,1752-12,,
1753,1,-0.291,1753-1,,
1753,2,-1.587,1753-2,,
1753,3,0.435,1753-3,,
1753,4,-0.445,1753-4,,
1753,5,0.752,1753-5,,
1753,6,-0.019,1753-6,,
1753,7,-0.397,1753-7,,
1753,8,-0.461,1753-8,,
1753,9,0.809,1753-9,,
1753,10,0.035,1753-10,,
1753,11,-0.528,1753-11,,
1753,12,-3.007,1753-12,,
1754,1,-0.049,1754-1,,
1754,2,-3.184,1754-2,,
1754,3,-1.432,1754-3,,
1754,4,3.796,1754-4,,
1754,5,0.908,1754-5,,
1754,6,0.359,1754-6,,
1754,7,0.085,1754-7,,
1754,8,-0.812,1754-8,,
1754,9,-0.725,1754-9,,
1754,10,0.704,1754-10,,
1754,11,0.157,1754-11,,
1754,12,0.658,1754-12,,
1755,1,-0.373,1755-1,,
1755,2,-2.385,1755-2,,
1755,3,-1.94,1755-3,,
1755,4,0.526,1755-4,,
1755,5,1.083,1755-5,,
1755,6,0.987,1755-6,,
1755,7,0.458,1755-7,,
1755,8,-0.888,1755-8,,
1755,9,-0.332,1755-9,,
1755,10,2.669,1755-10,,
1755,11,-0.334,1755-11,,
1755,12,-1.619,1755-12,,
1756,1,1.271,1756-1,,
1756,2,2.544,1756-2,,
1756,3,-1.328,1756-3,,
1756,4,1.413,1756-4,,
1756,5,1.483,1756-5,,
1756,6,0.429,1756-6,,
1756,7,-0.824,1756-7,,
1756,8,-0.679,1756-8,,
1756,9,0.176,1756-9,,
1756,10,-0.766,1756-10,,
1756,11,-1.507,1756-11,,
1756,12,-2.395,1756-12,,
1757,1,-2.241,1757-1,,
1757,2,0.921,1757-2,,
1757,3,-1.086,1757-3,,
1757,4,0.308,1757-4,,
1757,5,1.409,1757-5,,
1757,6,2.714,1757-6,,
1757,7,2.384,1757-7,,
1757,8,2.999,1757-8,,
1757,9,2.766,1757-9,,
1757,10,-2.616,1757-10,,
1757,11,-1.569,1757-11,,
1757,12,-2.322,1757-12,,
1758,1,-4.124,1758-1,,
1758,2,-2.984,1758-2,,
1758,3,-1.871,1758-3,,
1758,4,-1.059,1758-4,,
1758,5,-2.179,1758-5,,
1758,6,-0.943,1758-6,,
1758,7,-1.248,1758-7,,
1758,8,-2.585,1758-8,,
1758,9,-1.741,1758-9,,
1758,10,-6.27,1758-10,,
1758,11,-0.431,1758-11,,
1758,12,-0.983,1758-12,,
1759,1,1.855,1759-1,,
1759,2,0.953,1759-2,,
1759,3,-1.037,1759-3,,
1759,4,-1.923,1759-4,,
1759,5,-1.515,1759-5,,
1759,6,-0.198,1759-6,,
1759,7,-2.291,1759-7,,
1759,8,0.237,1759-8,,
1759,9,0.02,1759-9,,
1759,10,-1.267,1759-10,,
1759,11,-2.217,1759-11,,
1759,12,-4.424,1759-12,,
1760,1,-3.873,1760-1,,
1760,2,-0.447,1760-2,,
1760,3,-3.658,1760-3,,
1760,4,-1.544,1760-4,,
1760,5,-0.927,1760-5,,
1760,6,-1.779,1760-6,,
1760,7,-3.001,1760-7,,
1760,8,-1.049,1760-8,,
1760,9,-1.296,1760-9,,
1760,10,-2.066,1760-10,,
1760,11,-0.578,1760-11,,
1760,12,-2.291,1760-12,,
1761,1,-2.188,1761-1,,
1761,2,-1.324,1761-2,,
1761,3,0.18,1761-3,,
1761,4,-0.859,1761-4,,
1761,5,1.76,1761-5,,
1761,6,2.775,1761-6,,
1761,7,3.87,1761-7,,
1761,8,0.925,1761-8,,
1761,9,0.503,1761-9,,
1761,10,-2.268,1761-10,,
1761,11,-0.624,1761-11,,
1761,12,-5.303,1761-12,,
1762,1,3.449,1762-1,,
1762,2,0.886,1762-2,,
1762,3,-1.882,1762-3,,
1762,4,0.181,1762-4,,
1762,5,-0.711,1762-5,,
1762,6,-0.995,1762-6,,
1762,7,-1.05,1762-7,,
1762,8,0.145,1762-8,,
1762,9,-1.347,1762-9,,
1762,10,-2.436,1762-10,,
1762,11,0.398,1762-11,,
1762,12,-1.113,1762-12,,
1763,1,-1.881,1763-1,,
1763,2,-2.736,1763-2,,
1763,3,-4.124,1763-3,,
1763,4,-1.195,1763-4,,
1763,5,-1.119,1763-5,,
1763,6,-1.647,1763-6,,
1763,7,1.047,1763-7,,
1763,8,-0.264,1763-8,,
1763,9,-0.254,1763-9,,
1763,10,-2.25,1763-10,,
1763,11,-1.56,1763-11,,
1763,12,-1.077,1763-12,,
1764,1,-1.679,1764-1,,
1764,2,2.261,1764-2,,
1764,3,-0.615,1764-3,,
1764,4,-0.914,1764-4,,
1764,5,-1.536,1764-5,,
1764,6,-2.718,1764-6,,
1764,7,-2.078,1764-7,,
1764,8,-1.778,1764-8,,
1764,9,-1.64,1764-9,,
1764,10,0.567,1764-10,,
1764,11,-1.016,1764-11,,
1764,12,0.826,1764-12,,
1765,1,0.29,1765-1,,
1765,2,-0.18,1765-2,,
1765,3,1.009,1765-3,,
1765,4,0.357,1765-4,,
1765,5,-0.819,1765-5,,
1765,6,-2.696,1765-6,,
1765,7,-0.447,1765-7,,
1765,8,-0.829,1765-8,,
1765,9,-1.267,1765-9,,
1765,10,-1.358,1765-10,,
1765,11,-0.999,1765-11,,
1765,12,-1.742,1765-12,,
1766,1,-3.909,1766-1,,
1766,2,1.219,1766-2,,
1766,3,0.232,1766-3,,
1766,4,-0.479,1766-4,,
1766,5,-0.138,1766-5,,
1766,6,0.087,1766-6,,
1766,7,-0.991,1766-7,,
1766,8,-0.228,1766-8,,
1766,9,0.227,1766-9,,
1766,10,-0.835,1766-10,,
1766,11,0.741,1766-11,,
1766,12,-1.583,1766-12,,
1767,1,-3.634,1767-1,,
1767,2,0.306,1767-2,,
1767,3,1.181,1767-3,,
1767,4,-2.521,1767-4,,
1767,5,-1.3,1767-5,,
1767,6,0.527,1767-6,,
1767,7,-1.304,1767-7,,
1767,8,0.709,1767-8,,
1767,9,-0.525,1767-9,,
1767,10,-0.36,1767-10,,
1767,11,1.791,1767-11,,
1767,12,-2.937,1767-12,,
1768,1,-5.361,1768-1,,
1768,2,-3.637,1768-2,,
1768,3,-3.404,1768-3,,
1768,4,-1.772,1768-4,,
1768,5,-2.252,1768-5,,
1768,6,-0.842,1768-6,,
1768,7,-0.399,1768-7,,
1768,8,-1.699,1768-8,,
1768,9,-1.44,1768-9,,
1768,10,-1.57,1768-10,,
1768,11,-1.628,1768-11,,
1768,12,-1.057,1768-12,,
1769,1,-0.467,1769-1,,
1769,2,-1.404,1769-2,,
1769,3,-1.147,1769-3,,
1769,4,0.382,1769-4,,
1769,5,1.282,1769-5,,
1769,6,1.15,1769-6,,
1769,7,-0.266,1769-7,,
1769,8,-0.674,1769-8,,
1769,9,-0.941,1769-9,,
1769,10,-4.15,1769-10,,
1769,11,-3.701,1769-11,,
1769,12,-5.431,1769-12,,
1770,1,-0.897,1770-1,,
1770,2,0.094,1770-2,,
1770,3,-4.509,1770-3,,
1770,4,0.56,1770-4,,
1770,5,-1.377,1770-5,,
1770,6,-1.995,1770-6,,
